  Player,  Span,  Mat,  Inns,  NO,  Runs,  HS,  Ave,  BF,  SR,  100,  50,  0,  4s,  6s
MA Agarwal,2020-2020,3,3,0,36,32,12.00,39,92.30,0,0,0,6,0
KK Ahmed,2018-2019,11,3,1,9,5,4.50,17,52.94,0,0,0,1,0
JJ Bumrah,2016-2020,64,15,10,19,10*,3.80,44,43.18,0,0,4,2,1
YS Chahal,2016-2020,52,9,3,49,18*,8.16,84,58.33,0,0,1,7,0
DL Chahar,2018-2019,3,2,1,18,12,18.00,22,81.81,0,0,0,1,0
S Dhawan,2010-2020,136,133,7,5688,143,45.14,6050,94.01,17,29,5,710,69
MS Dhoni,2004-2019,347,294,83,10599,183*,50.23,12164,87.13,9,73,10,809,222
S Dube,2019-2019,1,1,0,9,9,9.00,6,150.00,0,0,0,1,0
SS Iyer,2017-2020,18,16,1,748,103,49.86,742,100.80,1,8,0,73,17
RA Jadeja,2009-2020,165,110,38,2296,87,31.88,2671,85.96,0,12,6,172,43
KM Jadhav,2014-2020,73,52,19,1389,120,42.09,1367,101.60,2,6,2,141,24
KD Karthik,2004-2019,94,79,21,1752,79,30.20,2392,73.24,0,9,6,176,15
S Kaul,2018-2018,3,2,0,1,1,0.50,3,33.33,0,0,1,0,0
V Kohli,2008-2020,248,239,39,11867,183,59.33,12726,93.25,43,58,13,1116,121
Kuldeep Yadav,2017-2020,60,21,12,118,19,13.11,188,62.76,0,0,1,10,0
B Kumar,2012-2019,114,52,15,526,53*,14.21,703,74.82,0,1,8,44,8
Mohammed Shami,2013-2020,77,36,17,147,25,7.73,180,81.66,0,0,5,11,6
Mohammed Siraj,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
MK Pandey,2015-2020,26,21,7,492,104*,35.14,535,91.96,1,2,2,41,4
HH Pandya,2016-2019,54,38,6,957,83,29.90,828,115.57,0,4,3,69,40
RR Pant,2018-2020,16,14,0,374,71,26.71,361,103.60,0,1,1,40,10
KL Rahul,2016-2020,32,31,5,1239,112,47.65,1423,87.06,4,7,2,98,25
SK Raina,2005-2018,226,194,35,5615,116*,35.31,6005,93.50,5,36,14,476,120
AT Rayudu,2013-2019,55,50,14,1694,124*,47.05,2143,79.04,3,10,3,145,30
NA Saini,2019-2020,5,2,1,53,45,53.00,55,96.36,0,0,0,7,2
V Shankar,2019-2019,12,8,1,223,46,31.85,246,90.65,0,0,0,20,4
RG Sharma,2007-2020,224,217,32,9115,264,49.27,10250,88.92,29,43,13,817,244
PP Shaw,2020-2020,3,3,0,84,40,28.00,82,102.43,0,0,0,12,2
Shubman Gill,2019-2019,2,2,0,16,9,8.00,32,50.00,0,0,0,2,0
SN Thakur,2017-2020,11,6,2,77,22*,19.25,53,145.28,0,0,1,8,3
UT Yadav,2010-2018,75,24,14,79,18*,7.90,134,58.95,0,0,4,8,1
